,date,actions,transactions
0,2019-01-03,"[-3.4349141e-01  2.8139606e-01 -2.0000000e-01  8.5176229e-03
 -6.3513801e-02  3.8934690e-01  4.1003228e-04  4.3382105e-01
  2.0000000e-01 -2.4334907e-03 -2.4837403e-01  2.7186102e-01
  5.5329180e-01 -1.1925645e-01  5.6550127e-01 -3.2252789e-01
 -4.6819824e-01 -1.9657204e-01 -3.1117558e-01  5.6164896e-01
  2.0000000e-01 -3.6764789e-02  2.7255350e-01  4.3200707e-01
  2.4146120e-01  2.6046044e-01  2.4887149e-01  2.4289131e-02
 -6.7928600e-01  4.8777160e-01  5.8816230e-01 -4.0960032e-01
  2.0293972e-01  8.0674219e-01 -6.2778342e-01  9.6444134e-03
 -4.5082742e-01  4.6553422e-02  7.2835338e-01 -3.8309723e-01
  8.7548620e-01 -1.7558288e-02 -6.0000002e-01 -6.0000002e-01
  9.4403267e-02  4.5083109e-01 -6.3749039e-01 -5.2247214e-01
 -2.0000000e-01 -2.0000000e-01]","[0.00000000e+00 2.84272327e+01 0.00000000e+00 9.72131634e+00
 0.00000000e+00 2.51220718e+02 8.83294269e-02 2.03622147e+02
 1.97398285e+02 0.00000000e+00 0.00000000e+00 3.71532898e+01
 1.05349182e+02 0.00000000e+00 1.82489227e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.58008759e+02
 4.78230934e+01 0.00000000e+00 6.37716179e+01 0.00000000e+00
 8.71047058e+01 1.50806213e+02 7.93190613e+01 1.07311640e+01
 0.00000000e+00 2.38025604e+02 1.98353683e+02 0.00000000e+00
 3.17380951e+02 7.69254837e+01 0.00000000e+00 1.22204614e+00
 0.00000000e+00 9.08150291e+00 1.87123840e+02 0.00000000e+00
 2.77796326e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.97378731e+00 3.11135159e+01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
1,2019-01-04,"[ 0.07499941  0.66970843  0.76589024 -0.2        -0.26251498  0.00706515
 -0.39957374  0.0111383  -0.13427301  0.49698225 -0.645948    0.2
  0.66666186  0.04551294 -0.08700795 -0.45080966 -0.04244423 -0.49312192
 -0.3601174   0.587808   -0.06498016 -0.6         0.5789701  -0.58671933
  0.29796553 -0.31832075  0.08615031 -0.57009524 -0.5853221   0.4028142
 -0.1247972  -0.6         0.2         0.8431557  -0.8322077   0.10138524
 -0.34676227  0.17249921  0.6         0.10565019  0.57515895 -0.51777077
 -0.6        -0.13331708  0.00843058  0.29780293  0.18484524 -0.09131829
 -0.2         0.06261472]","[ 4.15619736e+01  6.85809860e+01  7.57766968e+02 -9.72131634e+00
  0.00000000e+00  4.62766790e+00 -8.83294269e-02  5.14447165e+00
 -1.33038406e+02  1.10911743e+02  0.00000000e+00  2.83494129e+01
  1.31036102e+02  3.95971119e-01 -2.75449715e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.74215332e+02
 -1.69289722e+01  0.00000000e+00  1.36559845e+02  0.00000000e+00
  1.06811462e+02 -1.50806213e+02  2.75815144e+01 -1.07311640e+01
  0.00000000e+00  1.95654846e+02 -4.10214844e+01  0.00000000e+00
  3.11022644e+02  7.96755829e+01  0.00000000e+00  1.26676445e+01
  0.00000000e+00  3.30120544e+01  1.52542114e+02  1.00732430e+02
  1.78754013e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.47333229e-01  2.07028999e+01  2.55252571e+01  0.00000000e+00
  0.00000000e+00  7.44022751e+00]"
2,2019-01-07,"[ 0.2         0.82253474  0.73578906  0.05874362  0.2        -0.47441584
  0.03027186  0.828413   -0.6         0.04257343 -0.64024526 -0.2919663
  0.46845227  0.03878231 -0.0515507  -0.33426744  0.16814288 -0.41467443
 -0.50318336  0.5045065   0.24961415 -0.18053158  0.67820275 -0.03600378
 -0.03184104 -0.4893326   0.4226121  -0.18588373 -0.3918001   0.09767008
  0.6541883   0.30328184  0.01632857  0.43235517 -0.45371112 -0.09421439
 -0.5917141   0.4273886   0.33324057  0.09654148  0.31406257  0.15985903
 -0.24545355  0.2         0.17792101  0.6        -0.38691878  0.14260913
  0.23768707 -0.31719106]","[ 1.09163155e+02  8.40281525e+01  7.14122559e+02  6.58619766e+01
  0.00000000e+00 -2.55848386e+02  6.28088665e+00  3.72297028e+02
 -6.43598785e+01  9.51268005e+00  0.00000000e+00 -3.88877716e+01
  8.91641312e+01  3.30687553e-01 -1.63462029e+01  0.00000000e+00
  3.20296555e+01  0.00000000e+00  0.00000000e+00  2.30929260e+02
  6.07017670e+01  0.00000000e+00  1.58402328e+02  0.00000000e+00
 -1.11214094e+01  0.00000000e+00  1.32456207e+02  0.00000000e+00
  0.00000000e+00  4.60699234e+01  2.02597794e+02  0.00000000e+00
  2.50384483e+01  4.01992683e+01  0.00000000e+00 -1.12892179e+01
  0.00000000e+00  7.88281021e+01  8.33576584e+01  8.99600067e+01
  9.13726959e+01  0.00000000e+00  0.00000000e+00  1.46200974e+02
  1.57387590e+01  4.16652184e+01 -2.55252571e+01  1.33294506e+01
  4.06813087e+01 -7.44022751e+00]"
3,2019-01-08,"[ 6.88704476e-02 -1.61640450e-01  5.08514524e-01  2.00000003e-01
  3.22563231e-01 -2.45965436e-01  1.89447954e-01  1.50006101e-01
 -3.20899636e-01 -3.32433358e-02 -2.00000003e-01 -1.63444355e-01
  3.41739953e-01 -1.94781020e-01 -3.64667885e-02 -3.20548236e-01
 -8.48271102e-02 -1.62101552e-01  1.92295402e-01  4.01864588e-01
  2.00000003e-01 -6.00000024e-01  3.62523019e-01 -4.80102628e-01
  1.37533709e-01 -7.59656876e-02  1.14647366e-01  3.78816783e-01
 -8.64366829e-01 -3.75343233e-01  5.11453629e-01  1.26820251e-01
  3.62920749e-04  7.92981207e-01  1.69473644e-02 -1.94860488e-01
 -4.28522199e-01 -1.61133572e-01  7.18096912e-01 -5.93123794e-01
  4.37497914e-01 -1.57811478e-01 -1.71213582e-01 -2.84126699e-01
 -4.80040133e-01  8.35429311e-01 -5.66000044e-01 -1.25278920e-01
  3.77780348e-01 -1.61624402e-01]","[  37.51522446  -16.52606583  495.25164795  220.77005005    0.
    0.           39.29183578   67.80243683    0.           -7.4732337
    0.          -22.08659744   64.36725616   -0.72665867  -11.61562443
    0.          -15.81350327    0.           74.80157471  180.07751465
   47.66376114    0.           83.74212646    0.           46.76044846
    0.           35.97299194  165.36872864    0.         -175.61889648
  158.11079407    0.            0.55963111   74.10914612   15.66705322
   -2.60047269    0.          -30.36944008  181.93487549 -190.69243622
  127.35659027    0.            0.         -146.20097351  -24.45987958
   56.87641907    0.          -11.55607224   61.85414124    0.        ]"
4,2019-01-09,"[-0.33603358  0.6         0.61858976  0.00847168  0.24054217  0.15841326
 -0.41152447  1.         -0.10395272  0.24804802 -0.41807967  0.03773956
  0.3111649   0.03961744  0.02939789  0.2        -0.00972922 -0.05925646
  0.16572826  0.570121    0.6        -0.2         0.6034304  -0.2
  0.03624947 -0.6         0.02181151 -0.2473762  -0.48144037 -0.02737484
  0.38832992 -0.2363488  -0.10554914  0.6063102   0.05728378 -0.28088742
 -0.79476184  0.4825511   0.2988011  -0.16169944 -0.43112904 -0.12793863
 -0.27418846 -0.0217104   0.2         0.3376394  -0.24417195 -0.35962933
  0.4463308  -0.15014234]","[-1.83412430e+02  6.12700043e+01  6.03513977e+02  9.24452209e+00
  0.00000000e+00  1.01582123e+02 -4.55727224e+01  4.58404388e+02
  0.00000000e+00  5.64505005e+01  0.00000000e+00  5.06109381e+00
  5.85268250e+01  3.36250186e-01  9.91256523e+00  3.09819088e+01
 -1.81185353e+00  0.00000000e+00  6.52452927e+01  2.56372437e+02
  1.46193848e+02  0.00000000e+00  1.40439774e+02  0.00000000e+00
  1.22778835e+01  0.00000000e+00  6.70632267e+00 -1.08082123e+02
  0.00000000e+00 -1.28083801e+01  1.20119629e+02  0.00000000e+00
 -1.64601624e+02  5.71712456e+01  5.40249939e+01  0.00000000e+00
  0.00000000e+00  9.23811493e+01  7.66125259e+01  0.00000000e+00
 -1.25007698e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.69497280e+01  2.27863750e+01  0.00000000e+00 -1.77337837e+00
  7.47354813e+01  0.00000000e+00]"
5,2019-01-10,"[-0.11887865  0.37908283  0.5494838   0.08135388  0.25990847 -0.2574929
  0.52734506  0.4636825  -0.40585035  0.08076029 -0.89630014  0.22509184
  0.21151634 -0.47709814  0.08855307  0.07234512 -0.5858957  -0.09442411
 -0.09366977  0.23112202  0.50482553 -0.32496512  0.60775125  0.14045677
  0.5217961  -0.14755353  0.5393337   0.089395   -1.          0.6247369
  0.4876496  -0.50385404  0.12378921  0.44198972 -0.7326234   0.41413212
 -0.44212928  0.19862981  0.62901783 -0.41609067 -0.15012822 -0.5531662
 -0.27351746 -0.501451    0.02777345  1.         -0.23659185 -0.25704688
  0.25770903 -0.19116935]","[-4.82792282e+00  3.80615196e+01  5.35152405e+02  8.69499817e+01
  0.00000000e+00 -1.01582123e+02  1.08605988e+02  2.09928879e+02
  0.00000000e+00  1.77229481e+01  0.00000000e+00  2.93435268e+01
  3.72360382e+01 -3.36250186e-01  2.95551262e+01  1.13014526e+01
 -1.44042987e+01  0.00000000e+00 -3.49274254e+01  1.00570038e+02
  1.19174492e+02  0.00000000e+00  1.40204773e+02  0.00000000e+00
  1.71813004e+02  0.00000000e+00  1.65378906e+02  3.78010712e+01
  0.00000000e+00  2.97094818e+02  1.50662598e+02  0.00000000e+00
  1.91962921e+02  4.08352852e+01 -6.96920471e+01  5.44500885e+01
  0.00000000e+00  3.72918472e+01  1.58582581e+02  0.00000000e+00
 -4.30452957e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30352020e+00  6.75415573e+01  0.00000000e+00  0.00000000e+00
  4.30227814e+01  0.00000000e+00]"
6,2019-01-11,"[ 0.5223037   0.04807096  0.67486244 -0.1090672  -0.34990928  0.27535042
 -0.33676615  0.03693743 -0.20536575  0.51906234 -0.71508104  0.2
  0.37996268 -0.30063874 -0.5769349   0.05419655 -0.20231637  0.08850892
 -0.27628714  0.2         0.6        -0.3976694   0.01308198  0.25959665
  0.22858354 -0.13450384 -0.03303511  0.00979528  0.2         0.44166493
  0.1153928   0.8143895  -0.2         0.2        -0.23914194 -0.32205623
 -1.          0.2         0.15030093 -0.3043744  -0.12523384 -0.2
 -0.4382866  -0.28657827 -0.40228614  0.58170503 -0.6167908  -0.13611062
 -0.12098297  0.1329035 ]","[ 285.081604      4.91278934  659.56066895 -117.6687851     0.
  177.88644409  -68.95407104   16.9181633     0.          115.55982208
    0.           25.72962761   67.34968567    0.         -166.45011997
    8.40626621    0.           30.78442574 -103.31658173   87.7747345
  145.83850098    0.            2.97874188    0.           68.43367767
    0.          -10.13521004    4.17296505   70.86720276  214.92420959
   36.05890274    0.         -313.67630005   18.30117607    0.
  -42.80909348    0.           38.20658112   37.94845963    0.
  -36.76773071    0.            0.            0.          -19.25324821
   39.36322403    0.            0.          -20.52493095   15.29623795]"
7,2019-01-14,"[ 0.46477485  0.05968673  0.52595156 -0.07792863 -0.11861429  0.19837889
  0.0194416  -0.2422379  -0.21324906  0.16843128 -0.7855201   0.9832981
  0.6043771  -0.6        -0.03067441 -0.03037121  0.00821886 -0.24734935
 -0.2243381   0.6         0.07278371  0.19151418  0.12378988 -0.06810807
  0.20508948  0.11259985  0.44761673 -0.00730939 -0.76939964  0.3275484
  0.7969782  -0.0336113   0.2         0.6912097  -0.5231703  -0.19822381
 -0.5545315   0.04932218  0.27198023 -0.3213721   0.2         0.13704339
  0.07250018 -0.4305767  -0.11614311  0.49497366 -0.60710394 -0.40912336
  0.497849   -0.09220974]","[ 251.4090271     6.18687153  511.34747314  -83.28911591    0.
  125.81266785    3.88897419 -111.04290771    0.           37.00647736
    0.          127.22290039  105.88023376    0.            0.
   -4.62245798    1.49859977  -30.78442574   -1.80286026  263.77801514
   17.79483223  103.38036346   27.69509697    0.           64.12693024
   53.29716492  136.95874023   -3.07810426  -70.86720276  158.80056763
  248.29837036    0.          311.89569092   62.6289711     0.
  -11.64099503    0.            9.45597553   68.1668396     0.
   57.92534637    0.          103.30310059    0.            0.
   33.49422836    0.            0.           83.64089203  -10.59360886]"
8,2019-01-15,"[ 0.4352785   0.76708126  0.3864848  -0.01970885 -0.2         0.13924769
  0.08826981 -0.23903628  0.13897666  0.24330159 -0.69409883  0.6550132
  0.47434396 -0.72525024 -0.36581892 -0.35131645  0.07092146 -0.326857
 -0.32365355  0.49643612  0.37440473  0.04452496  0.08126722  0.27718806
  0.2        -0.38443744 -0.1756107   0.156831   -0.42387944  0.6
  0.2        -0.0166266   0.19123077  0.6010129  -0.24066286 -0.01537547
 -0.28480944  0.21032305 -0.03774631 -0.31891865 -0.6        -0.2
 -0.6        -0.37305266  0.03038073  0.7466085  -0.41556606 -0.32353488
  0.3294362  -0.12513903]","[ 235.21957397   81.53829193  378.37988281  -21.30363655    0.
   86.30912018   17.75759506 -111.62408447  132.5531311    54.10140228
    0.           87.27527618   82.51268005    0.            0.
  -46.06716967   12.9315834     0.            0.          223.82958984
   94.25484467   23.95953178   18.43253899    0.           61.61315536
  -53.29716492  -53.41477966   66.42622375    0.          294.16378784
   62.99014282    0.          300.78137207   55.36207581    0.
    0.            0.           41.13415527   -9.59177208    0.
 -172.70759583    0.         -103.30310059    0.            2.61866236
   50.77449417    0.            0.           58.72742844   -4.70262909]"
9,2019-01-16,"[ 0.00573574  0.09081824  0.31291407  0.2        -0.1963312   0.2
 -0.21840255 -0.17018685 -0.07198624  0.19161245 -0.59506106  0.29304117
  0.66501236  0.23479943  0.116985   -0.50165653 -0.25433522 -0.23961362
 -0.264316    0.39452463  0.2628378   0.05975251  0.11293099 -0.09413441
  0.06506646 -0.21462491  0.5588494   0.03856694  0.2         0.406758
  0.6        -0.15963474  0.15081105  0.32802117 -0.17440256  0.05913634
 -0.05550616 -0.10203934  0.14703178 -0.17483088 -0.42407346 -0.34591246
 -0.15694514 -0.20715423 -0.18546887  0.5294256  -0.37396294 -0.43139905
  0.36715084 -0.06862104]","[   3.08423018    9.55589199  303.17605591  214.56004333    0.
  123.23011017  -43.13357544  -80.08491516  -67.89746094   42.15005112
    0.           37.58566666  112.46424866    1.82619441   37.8756485
    0.          -14.43018317    0.            0.          173.89285278
   66.56986237   31.27323341   24.64719772    0.           18.94561958
    0.          169.52708435   16.09571266   70.40815735  195.75061035
  186.14926147    0.          235.18658447   29.4574585     0.
    7.72840214    0.          -19.18436623   36.81482697    0.
 -118.36038971    0.            0.            0.           -2.61866236
   35.82554626    0.            0.           63.14118958    0.        ]"
