,date,actions,transactions
0,2019-01-03,"[0.08797932 0.818744   0.48818284 0.9874016  0.8087371  0.06231986
 0.11399697 0.15189144 0.03023886 0.52361935 0.72164524 0.8298839
 0.16909678 0.22404146 0.3794233  0.97173864 0.9764395  0.32996097
 0.20822486 0.8976314  0.15214448 0.6142168  0.07749683 0.99795574
 0.60872513 0.93275946 0.16875802 0.9814946  0.32127166 0.9475578
 0.41696545 0.49853095 0.73616517 0.6505904  0.49809214 0.8896273
 0.18388762 0.51625264 0.4117557  0.93396795 0.14120235 0.08302434
 0.28981432 0.9641882  0.01371292 0.03418873 0.18057212 0.2023432
 0.7366325  0.19016214]","[  49.30746841   82.71127319  484.71231079 1126.93920898    0.
   40.21103287   24.55730438   71.29312897   29.84549141  114.72665405
  170.71389771  113.41426086   32.1967659     1.91998017  122.44121552
  163.90748596  183.29180908  129.71488953   80.33985901  412.35147095
   36.38010025  361.83612061   18.1325798     0.          219.59147644
  540.06640625   53.78570175  433.63345337  118.39489746  462.39474487
  140.61872864    0.         1151.30151367   62.03590775  484.88391113
  112.72490692  194.27757263  100.70903778  105.78562164  890.49407959
   44.80423737    0.          437.83889771  717.61547852    1.1582638
    2.35949039   24.82425308   18.39032173  127.51302338   22.36938477]"
1,2019-01-04,"[0.14578687 0.71632963 0.9147993  0.94804996 0.6891077  0.09981336
 0.23880726 0.13803764 0.01138532 0.62882626 0.61874366 0.5953971
 0.11618309 0.15960746 0.5675177  0.8193321  0.9793364  0.5224961
 0.04277581 0.8884457  0.4847509  0.77066517 0.05474861 0.9928077
 0.9770474  0.9774523  0.25946528 0.6916782  0.20863564 0.9196361
 0.5246945  0.543711   0.9349814  0.7128509  0.32493448 0.68387806
 0.02394436 0.263238   0.9584896  0.60630804 0.01663262 0.07106532
 0.55359167 0.9925657  0.12281069 0.05704848 0.04951987 0.12612066
 0.7934987  0.13631463]","[8.07898331e+01 7.33551941e+01 9.05096680e+02 1.07559387e+03
 0.00000000e+00 6.53776474e+01 5.08031349e+01 6.37557793e+01
 1.12806311e+01 1.40335434e+02 1.50276062e+02 8.43957901e+01
 2.28364334e+01 1.38861501e+00 1.79664703e+02 1.36685669e+02
 1.87677780e+02 2.00171661e+02 1.66024208e+01 4.14464325e+02
 1.26289825e+02 4.44859192e+02 1.29133825e+01 0.00000000e+00
 3.50241394e+02 5.39516174e+02 8.30692978e+01 3.07713409e+02
 7.63170853e+01 4.46685455e+02 1.72469788e+02 0.00000000e+00
 1.45400195e+03 6.73621902e+01 3.09862762e+02 8.54475861e+01
 2.52972527e+01 5.03772011e+01 2.43683365e+02 5.78085876e+02
 5.16926384e+00 0.00000000e+00 8.14033569e+02 7.33614502e+02
 1.08866234e+01 3.96594191e+00 6.83819294e+00 1.18753433e+01
 1.39913788e+02 1.61976585e+01]"
2,2019-01-07,"[0.18562695 0.89823014 0.67317814 0.98205894 0.45413387 0.14280275
 0.45884186 0.07787091 0.01694911 0.38893887 0.21373233 0.54775983
 0.17193797 0.06325962 0.32201472 0.6720937  0.98874474 0.45404807
 0.05238118 0.8062112  0.03032434 0.6009312  0.6084847  0.9271651
 0.47001183 0.97258484 0.30050024 0.90802294 0.36112955 0.7551704
 0.41182065 0.2011663  0.11055237 0.58283716 0.39706728 0.8728211
 0.07363945 0.05306957 0.24714598 0.79336727 0.1784085  0.29893434
 0.3912596  0.671775   0.00573925 0.5159358  0.12047826 0.11570924
 0.66413695 0.56763595]","[1.01318123e+02 9.17610092e+01 6.53355347e+02 1.10106177e+03
 0.00000000e+00 9.19125824e+01 9.52017212e+01 3.49959602e+01
 1.66320972e+01 8.69051666e+01 5.00499535e+01 7.29575958e+01
 3.27262802e+01 5.39399803e-01 1.02107605e+02 1.07413315e+02
 1.88346680e+02 1.65584061e+02 2.01210709e+01 3.69029419e+02
 7.37434530e+00 3.24046478e+02 1.42118835e+02 0.00000000e+00
 1.64165298e+02 4.88073914e+02 9.41835785e+01 3.99450531e+02
 1.29055954e+02 3.56205750e+02 1.27538139e+02 0.00000000e+00
 1.69522446e+02 5.41906929e+01 3.61226410e+02 1.04585587e+02
 7.67669296e+01 9.78821850e+00 6.18217316e+01 7.39281433e+02
 5.19057922e+01 0.00000000e+00 5.61847839e+02 4.91070770e+02
 5.07689536e-01 3.58276291e+01 1.64145126e+01 1.08151608e+01
 1.13670311e+02 6.57503510e+01]"
3,2019-01-08,"[0.3272491  0.93721724 0.8068679  0.97809285 0.8106808  0.00552158
 0.25579223 0.04265979 0.16422527 0.3969819  0.74763983 0.3164373
 0.18155153 0.24073495 0.6051561  0.7565181  0.9165473  0.355682
 0.01862855 0.812566   0.5267148  0.71480894 0.41195872 0.89777327
 0.46927884 0.9546093  0.35328463 0.88127154 0.28923273 0.9792953
 0.63064367 0.19055757 0.7229033  0.35658237 0.04561831 0.9288476
 0.16248813 0.07815869 0.41936886 0.62736785 0.06462356 0.11539984
 0.22764806 0.9352269  0.11323455 0.03044825 0.31321636 0.05734736
 0.8336137  0.05561733]","[ 178.25967407   95.82077026  785.82354736 1079.66809082    0.
    3.52330232   53.05175781   19.2821331   159.01283264   89.24310303
  175.23657227   42.76087189   34.19551849    2.04085827  192.75802612
  116.64078522  170.86309814  125.7519989     7.24637604  364.11483765
  125.52603912  384.24804688   95.16168213    0.          159.55136108
  475.30361938  110.85038757  384.71044922  103.56668091  458.20129395
  194.9571991     0.         1114.73144531   33.32489395   42.17201233
  119.32137299  170.35870361   14.73085785  106.25002289  583.57629395
   18.8120594     0.          326.90206909  680.84838867    9.84423923
    2.07293081   42.8985939     5.28987885  136.4879303     6.22000933]"
4,2019-01-09,"[0.10226814 0.9875609  0.71873796 0.95274323 0.9313193  0.19168359
 0.5590559  0.04381739 0.01021953 0.6214213  0.08154096 0.83199614
 0.10757762 0.24886952 0.49177253 0.8994861  0.9649225  0.44085386
 0.23347515 0.922607   0.3808726  0.8900777  0.08893372 0.85116273
 0.72345465 0.9648802  0.11538404 0.9972981  0.14454722 0.80521125
 0.34528226 0.36967552 0.03103067 0.765936   0.46636587 0.7336994
 0.15490769 0.13662705 0.7933209  0.7782711  0.01113697 0.09318396
 0.5849348  0.87638485 0.0982319  0.8768847  0.1560135  0.249327
 0.75853914 0.19625771]","[  55.81956482  100.84643555  701.22143555 1039.65869141    0.
  122.91664886  117.32843018   20.08608437    9.932868    141.4223938
   18.87775803  111.57550049   20.23421288    2.11226225  165.81892395
  139.33898926  179.69563293  157.09545898   91.9164505   414.87860107
   92.80204773  480.97232056   20.69804955    0.          245.0378418
  460.56777954   35.47680283  435.73352051   51.55477905  376.7492981
  106.80396271    0.           48.39165878   72.22296143  439.83502197
   97.07997131  163.66023254   26.15632629  203.40727234  726.48712158
    3.22921109    0.          844.35412598  637.13909912    8.32501888
   59.17858887   21.56801033   23.35055923  127.01295471   22.55830574]"
5,2019-01-10,"[0.06776137 0.97817725 0.5881791  0.8990469  0.44423127 0.11523666
 0.12135997 0.06028506 0.06249388 0.63212335 0.04864615 0.86932355
 0.1504034  0.10967035 0.462369   0.9158609  0.9461059  0.27605838
 0.05669753 0.8469735  0.4063412  0.8706339  0.5897813  0.9877125
 0.7433983  0.9821729  0.3065276  0.9668403  0.46854013 0.7943366
 0.4641051  0.10226373 0.67101777 0.37283725 0.39572555 0.9158235
 0.09918701 0.08151642 0.4079033  0.79261476 0.13738675 0.05024742
 0.6453557  0.9907769  0.04513135 0.42493302 0.18220785 0.03251411
 0.93532246 0.43141177]","[3.68741264e+01 9.82131271e+01 5.72838501e+02 9.60889709e+02
 0.00000000e+00 7.38043671e+01 2.49939194e+01 2.72936211e+01
 6.02815514e+01 1.38720276e+02 1.11307726e+01 1.13327156e+02
 2.64775124e+01 9.13702130e-01 1.54318466e+02 1.43071976e+02
 1.75346359e+02 9.81673508e+01 2.11412811e+01 3.68550568e+02
 9.59252319e+01 4.64144989e+02 1.36059204e+02 0.00000000e+00
 2.44780472e+02 4.47797852e+02 9.39922791e+01 4.08832733e+02
 1.65696548e+02 3.77748260e+02 1.43388351e+02 0.00000000e+00
 1.04056348e+03 3.44463120e+01 3.71852600e+02 1.20412468e+02
 1.03596062e+02 1.53043404e+01 1.02837090e+02 7.41163208e+02
 3.93920174e+01 0.00000000e+00 9.19545898e+02 7.20303040e+02
 3.74317813e+00 2.87006359e+01 2.49762650e+01 2.93895364e+00
 1.56145752e+02 4.88530769e+01]"
6,2019-01-11,"[0.17182165 0.93467814 0.31044894 0.98719853 0.4216778  0.02360318
 0.16067962 0.10574992 0.0643363  0.7683125  0.1421011  0.9371113
 0.12544163 0.00325913 0.518415   0.8083233  0.8015327  0.40652928
 0.06893814 0.9230366  0.30606595 0.8870857  0.07518186 0.8746919
 0.53215474 0.975815   0.05273062 0.9178576  0.12483695 0.93981177
 0.59164023 0.8347054  0.12537092 0.6077938  0.00363048 0.9980255
 0.04238892 0.20960908 0.01238625 0.79694    0.0114     0.01642746
 0.23913345 0.8792904  0.09491819 0.58998567 0.02462896 0.50072634
 0.6766064  0.19845715]","[9.37829666e+01 9.55228958e+01 3.03409851e+02 1.06505396e+03
 1.29475311e+02 1.52485161e+01 3.28997269e+01 4.84358139e+01
 6.25316353e+01 1.71050842e+02 3.23400993e+01 1.20557632e+02
 2.22349567e+01 2.70366892e-02 1.67404526e+02 1.25376656e+02
 1.47842789e+02 1.41395584e+02 2.57791672e+01 4.05096466e+02
 7.43936615e+01 4.81876068e+02 1.71187668e+01 0.00000000e+00
 1.59317276e+02 4.59319489e+02 1.61778145e+01 3.91023651e+02
 4.42342262e+01 4.57333740e+02 1.84880646e+02 0.00000000e+00
 1.96629425e+02 5.56167030e+01 3.47500610e+00 1.32661819e+02
 4.46123962e+01 4.00422325e+01 3.12732005e+00 7.49144592e+02
 3.34695530e+00 0.00000000e+00 3.43395050e+02 6.37518066e+02
 7.97727013e+00 3.99235649e+01 3.36716080e+00 4.60357552e+01
 1.14787224e+02 2.28409920e+01]"
7,2019-01-14,"[0.07368823 0.964931   0.8540504  0.91208297 0.9452884  0.35717043
 0.30437785 0.18941376 0.00969423 0.43199542 0.4063624  0.71498317
 0.10364075 0.48334044 0.41833133 0.7712297  0.94050413 0.4605457
 0.3302187  0.66442996 0.43699634 0.87028277 0.6250102  0.8870842
 0.8005469  0.9801457  0.36507246 0.9870078  0.315237   0.99053943
 0.27511737 0.6909603  0.32009536 0.7686436  0.25723734 0.8573947
 0.10275927 0.42238277 0.7518047  0.990304   0.42914262 0.22898336
 0.3307251  0.98464864 0.15705234 0.07924417 0.03913308 0.14567612
 0.9377102  0.09879176]","[ 39.85991669 100.02062988 830.33599854 974.8225708  287.34091187
 226.51887512  60.88579941  86.82809448   9.22890472  94.9148407
  93.48369598  92.50727081  18.15672112   3.90174294 135.21864319
 117.38012695 171.48840332 163.56813049 122.51921844 292.10336304
 106.84088898 469.78323364 139.83145142   0.         250.31326294
 463.93475342 111.70239258 415.64523315 111.19235229 480.22894287
  85.7127533    0.         499.18182373  69.6450882  241.27914429
 112.98725128 107.73671722  80.97859955 188.42601013 929.28704834
 124.29117584   0.         471.23919678 710.99926758  13.07307529
   5.36235046   5.34714413  13.22628212 157.5395813   11.34979153]"
8,2019-01-15,"[0.08590166 0.9749406  0.8933931  0.9896118  0.7487343  0.09672106
 0.14354885 0.10655052 0.23417395 0.7371773  0.28218362 0.8120847
 0.21475905 0.02450185 0.46130002 0.90307945 0.39313358 0.5045211
 0.05147016 0.9560261  0.7100287  0.7078639  0.44894525 0.9826957
 0.72609574 0.9317324  0.11406817 0.8386306  0.13016747 0.8853961
 0.76193106 0.0775845  0.23721896 0.9849718  0.25303617 0.94184977
 0.31391266 0.31551924 0.51127684 0.81627464 0.06159148 0.26683322
 0.20362614 0.8991999  0.03490821 0.23682773 0.01576941 0.22917672
 0.7271228  0.7581384 ]","[4.64202805e+01 1.03633080e+02 8.74657898e+02 1.06968872e+03
 2.27192093e+02 5.99500809e+01 2.88783016e+01 4.97564850e+01
 2.23350388e+02 1.63921356e+02 6.72217865e+01 1.08203796e+02
 3.73575859e+01 2.01362073e-01 1.49697876e+02 1.38811020e+02
 7.16826706e+01 1.78299942e+02 1.92609119e+01 4.31046234e+02
 1.78746780e+02 3.80911957e+02 1.01827049e+02 0.00000000e+00
 2.23685257e+02 4.34147400e+02 3.46956444e+01 3.55204468e+02
 4.64260368e+01 4.34085785e+02 2.39970734e+02 0.00000000e+00
 3.73114868e+02 9.07303009e+01 2.40853790e+02 1.25035156e+02
 3.31649261e+02 6.17080116e+01 1.29921341e+02 7.71394897e+02
 1.77288628e+01 0.00000000e+00 2.90894470e+02 6.55517761e+02
 3.00890827e+00 1.61059093e+01 2.17972708e+00 2.09567089e+01
 1.29621613e+02 9.11954041e+01]"
9,2019-01-16,"[0.10716844 0.9668754  0.96123064 0.9084042  0.6904739  0.01211184
 0.14808564 0.07203662 0.2636551  0.5048758  0.41568357 0.72984296
 0.29914528 0.01187475 0.618256   0.7456741  0.9806221  0.7179293
 0.19793922 0.77430004 0.9798388  0.63461757 0.5492779  0.99878836
 0.66101986 0.8006077  0.27321285 0.9461437  0.15038644 0.97404313
 0.30733082 0.474804   0.94680506 0.66422224 0.00555492 0.860831
 0.00209412 0.06828636 0.7227627  0.9138298  0.04604902 0.43667126
 0.5819095  0.8737215  0.05925902 0.01745564 0.04876566 0.24493635
 0.8591507  0.41005668]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
